TAHUN,A,B,BULAN
2020-01-01,-147.91385497614604,1.9894721765036822,1
2020-02-01,-4.404115696914098,0.34413735368786635,2
2020-03-01,-58.74553353140445,0.8218987425038107,3
2020-04-01,-58.51702208436901,0.8419638827802076,4
2020-05-01,-80.65121951219498,1.1024390243902402,5
2020-06-01,-1.9024485659062775,0.05313563463052604,6
2020-07-01,-30.02676158278626,0.42652156859082874,7
2020-08-01,-17.499528490142193,0.27490378804292,8
2020-09-01,-1.886190667459459,0.07292130257136355,9
2020-10-01,-74.3488542337718,1.0798426296987325,10
2020-11-01,-44.52864074008857,0.6358065813620187,11
2020-12-01,-52.538338833883785,0.7325038503850435,12
